Sr. No.,Authors,Title,Journal,issn no.,volume,issue,Year,Domain,Faculty,Ptype
12,"Ajitkumar Shitole,Manoj Devare","TPR, PPV and ROC based Peformance Measurement and Optimization of Human Face Recognition of IoT Enabled Physical Location Monitoring",International Journal of Recent Technology and Engineering (IJRTE),2277-3878,8,2,2019,IOT,Ajitkumar Shitole,Journal
13,"Ajitkumar Shitole,Manoj Devare","TPR, PPV and ROC based Peformance Measurement and Optimization of Human Face Recognition of IoT Enabled Physical Location Monitoring",International Journal of Innovative Technology and Exploring Engineering (IJITEE),"2278-3075
",8,8,2019,IOT,Ajitkumar Shitole,Journal
14,Prof.Kimi Ramteke,Medical Data Security Using Distributed Server,International Journal of Research in Electronics and Computer Engineering (IJRECE),0,7,1,2019,Data Security,Kimi Ramteke,Journal
15,"Prof.Ashwini Jarali,",Entrizee- A QR based Digital Gate Security Management System,International Journal of Computer Sciences and Engineering,2347-2693,7,7,2019,IOT,Ashwini Jarali,Journal
16,"Prof.Ashwini Jarali,",Diabetic Fighter Diet Plan Android App,International Journal of Research in Advent Technology,2321-9637,7,2,2019,Android,Ashwini Jarali,Journal
17,Sandeep Patil,Driver Behaviour Analysis Using Android App,International Journal of Technical Innovation in Modern Engineering & Science( IJTIMES),2455-2585,4,12,2018,Data Science,Sandeep Patil,Journal
18,Prashant Gadakh,Amigo: A Smart Helper,Research Review International Journal of Multidisciplinary,2455-3085,3,12,2018,IOT,Prashant Gadakh,Journal
19,"Prof. Bailappa Bhovi ,Prof. Prashant Gadakh",Personalized Outfit Recommendation Mobile Application,Research Review International Journal of Multidisciplinary,2455-3085,3,12,2018,Data Science,"Bailappa Bhovi,Prashant Gadakh",Journal
20,"Saif Lakhani, Shibham Kokate, Niharika Sachdev, Pranav Patil, Deptii Chaudhari",GPS Based Encapsulation Of Car Keyprint Using On Board Diagnostics,Journal of Emerging Technologies and Innovative Research,2349-5162,6,3,2019,Data Science,Deptii Chaudhri,Journal
21,"Smit Agrawal, Amit Choudhary, Raquib Siddiqui, Prof. Prashant Gadakh, Dr. Sashikala Mishra",Agribot,Universal Review,2277- 2723,8,2,2019,AI,Prashant Gadakh,Journal
22,"Asit Dhaware, Akash Fulmali, Sahil Hatankar, Dr. Sashikala Mishra, Prof. Prashant Gadakh",Novel Methodology for Crop Disease Detection,International Journal of Research in Advent Technology,2321-9637,7,2,2019,Data Science,Prashant Gadakh,Journal
23,"Dr. Sashikala Mishra, Prof. Prashant Gadakh",Food Nutritional Value Evaluation System,International Journal of Pure and Applied Mathematics,1314-3395,120,6,2019,IOT,Prashant Gadakh,Journal
24,"Dr. Sashikala Mishra, Prof. Prashant Gadakh",Food Nutritional Value Evaluation System,International Journal of Pure and Applied Mathematics,1314-3395,120,6,2019,IOT,Sashikala Mishra,Journal
25,"Asit Dhaware, Akash Fulmali, Sahil Hatankar, Dr. Sashikala Mishra, Prof. Prashant Gadakh",Novel Methodology for Crop Disease Detection,International Journal of Research in Advent Technology,2321-9637,7,2,2019,Data Science,Sashikala Mishra,Journal
26,"Kailash Shaw , Sashikala Mishra , Debahuti Mishra",Protein Fold Recognition using n-Gram Strict Position Specific Scoring Matrix and Structural based Feature Extraction Technique,International Journal of Recent Technology and Engineering (IJRTE),2277-3878,8,1,2019,Data Science,Sashikala Mishra,Journal
27,"Rohan Kanade, Shweta Gawahale, Shivraj Jadhav, Reeba Benny, Ajitkumar Shitole",Driving Pattern using Sensor Generated Data,International Journal of Engineering and Advanced Technology (IJEAT),2249-8958,8,5,2019,Data Science,Ajitkumar Shitole,Journal
28,"Reeba Benny, Shweta Gawahale, Shivraj Jadhav, Rohan Kanade, Prof. Ajitkumar Shitole",Drivers Assessment Using Smartphones,Research Review International Journal of Multidisciplinary,2455-3085,4,1,2019,Data Science,Ajitkumar Shitole,Journal
29,"Supriya Maid, Neha Hajare, Neeta Jakalwad, Prof. Ramkrushna M",New Methodology To Detect Accident For Insurance Company By Using : Telematics,"International Journal of Management, Technology And Engineering,",2249-7455,9,3,2019,IOT,Ramkrushna M,Journal
30,Malayaj Kumar,Energy Clone Detection,Journal of Emerging Technologies and Innovative Research,2349-5162,6,3,2019,IOT,no,Journal
31,Kimi Ramteke,Crop Analysis: A Seasonal Crop Prediction for Agriculture Purposes,International Journal of Research and Analytical Reviews,2348-1269,6,1,2019,Data Science,Kimi Ramteke,Journal
32,Bailappa Bhovi,An efficient Deduplication approach to maximally detect and eliminate redundancy at very low overhead,International Journal For Research & Development In Technology,2349-3585,10,6,2019,Data Science,Bailappa Bhovi,Journal
33,"Kumar, A., Bhisikar, A., Pandit, A. K., Singh, K., Ajitkumar Shitole",Brain Controlled Car using Deep Neural Network,Asian Journal For Convergence In Technology (AJCT),2350-1146,0,0,2019,Neural Network,Ajitkumar Shitole,Journal
